"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1002";"NULL";"VAG 100 FV 259";"Madrid";"MADRID";"RE-015081";"RE/0038/2007";"90,000";"b.1.1";"Inscripción definitiva"
"1003";"NULL";"AUTOS TRES CANTOS, SL COLMENAR AUTOMOTOR, SL";"Tres Cantos";"MADRID";"RE-015082";"RE/0126/2007";"41,400";"b.1.1";"Inscripción definitiva"
"1004";"NULL";"PROYECTOS INMOBILIARIOS MORAN, SL";"Madrid";"MADRID";"RE-015083";"RE/1316/2006";"69,900";"b.1.1";"Inscripción definitiva"
"1005";"NULL";"IMPROQUISA";"Valdemoro";"MADRID";"RE-015084";"RE/1460/2006";"99,900";"b.1.1";"Inscripción definitiva"
"1006";"NULL";"AYUNTAMIENTO DE COLMENAREJO- C.P. SEIS DE DICIEMBR";"Colmenarejo";"MADRID";"RE-015085";"RE/1462/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1007";"NULL";"IES CIUDAD DE JAEN";"Madrid";"MADRID";"RE-015086";"RE/1478/2006";"2,200";"b.1.1";"Inscripción definitiva"
"1008";"NULL";"ULISES 61";"Madrid";"MADRID";"RE-015087";"RE/1490/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1009";"NULL";"AUTESA, SA";"Madrid";"MADRID";"RE-015734";"RE/1324/2006";"8,900";"b.1.1";"Inscripción definitiva"
"1010";"NULL";"ALFREDO GAVELA GONZALO";"Madrid";"MADRID";"RE-015735";"RE/1343/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1011";"NULL";"BIBLIOTECA CTRAL S. SEBASTAIN REYES";"San Sebastián de los Reyes";"MADRID";"RE-016321";"RE/1472/2006";"9,900";"b.1.1";"Inscripción definitiva"
"1012";"NULL";"C.E.I.P TIERNO GALVAN";"Alcobendas";"MADRID";"RE-016322";"RE/0023/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1013";"NULL";"ISFVCR COLEGIO CALASANZ";"Alcalá de Henares";"MADRID";"RE-016323";"RE/0073/2007";"30,000";"b.1.1";"Inscripción definitiva"
"1014";"NULL";"I E S CARMEN CONDE";"Rozas de Madrid (Las)";"MADRID";"RE-016423";"RE/1471/2006";"2,200";"b.1.1";"Inscripción definitiva"
"1015";"NULL";"TOYAGA";"Moralzarzal";"MADRID";"RE-016424";"RE/1530/2006";"5,400";"b.1.1";"Inscripción definitiva"
"1016";"NULL";"ESPACIOS EZPELETA, SL";"Madrid";"MADRID";"RE-017169";"RE/1266/2006";"5,200";"b.1.1";"Inscripción definitiva"
"1017";"NULL";"IF. EN CENTRO DE EMPRESAS";"Valdemoro";"MADRID";"RE-017170";"RE/1330/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1018";"NULL";"PILAR BALBOA";"Fuentidueña de Tajo";"MADRID";"RE-017171";"RE/1464/2006";"2,400";"b.1.1";"Inscripción definitiva"
"1019";"NULL";"VENTUBEL, SA";"Leganés";"MADRID";"RE-017172";"RE/0008/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1020";"NULL";"CAPELHI";"Navalcarnero";"MADRID";"RE-017173";"RE/0024/2007";"75,000";"b.1.1";"Inscripción definitiva"
"1021";"NULL";"CCAL3 FV316";"Madrid";"MADRID";"RE-017174";"RE/0029/2007";"2,500";"b.1.1";"Inscripción definitiva"
"1022";"NULL";"JULIO CIVIDENES BERMEJO";"San Fernando de Henares";"MADRID";"RE-017175";"RE/0039/2007";"3,850";"b.1.1";"Inscripción definitiva"
"1023";"NULL";"INICIATIVA SOLAR, SL";"Guadarrama";"MADRID";"RE-017176";"RE/0044/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1024";"NULL";"ALVARO DE LA HERRAN BALLESTERO";"Guadarrama";"MADRID";"RE-017177";"RE/0045/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1025";"NULL";"JOSÉ LUIS PASTOR RODRíGUEZ";"Guadarrama";"MADRID";"RE-017178";"RE/0046/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1026";"NULL";"INVERSIONES GUADARRAMA PEREZ DEL MOLINO, SL";"Guadarrama";"MADRID";"RE-017179";"RE/0047/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1027";"NULL";"MIGUEL ANGEL SAEZ LOPEZ";"Guadarrama";"MADRID";"RE-017180";"RE/0048/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1028";"NULL";"Mª SUSANA GLEZ DE LA PEÑA GARCIA DEL RIO";"Guadarrama";"MADRID";"RE-017181";"RE/0049/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1029";"NULL";"LUCIANO JIMENEZ GIL";"Guadarrama";"MADRID";"RE-017182";"RE/0050/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1030";"NULL";"MIGUEL RODRIGUEZ BONILLA";"Guadarrama";"MADRID";"RE-017183";"RE/0051/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1031";"NULL";"COMPLEJO ENFERMOS ALZHEIMER";"Madrid";"MADRID";"RE-017184";"RE/0053/2007";"16,900";"b.1.1";"Inscripción definitiva"
"1032";"NULL";"URBASER, SA";"Leganés";"MADRID";"RE-017185";"RE/0054/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1033";"NULL";"CIBELES MAILING SOLAR 1";"Getafe";"MADRID";"RE-017186";"RE0065/2007";"4,400";"b.1.1";"Inscripción definitiva"
"1034";"NULL";"FUNDACION ASISTENC. DEFICIENTE PSIQUICO";"Leganés";"MADRID";"RE-017187";"RE/0066/2007";"9,900";"b.1.1";"Inscripción definitiva"
"1035";"NULL";"AUTOTRECA, SA";"Tres Cantos";"MADRID";"RE-017188";"RE/0123/2007";"13,800";"b.1.1";"Inscripción definitiva"
"1036";"NULL";"CONTSE";"San Sebastián de los Reyes";"MADRID";"RE-017189";"RE/0131/2007";"32,000";"b.1.1";"Inscripción definitiva"
"1037";"NULL";"MANUEL JESUS HERNANDEZ ZAFRA";"Villaviciosa de Odón";"MADRID";"RE-017190";"RE/0136/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1038";"NULL";"ANTONIO FUERTE MAZUELAS";"Molinos (Los)";"MADRID";"RE-017191";"RE/0144/2007";"9,900";"b.1.1";"Inscripción definitiva"
"1039";"NULL";"AVERMASOL";"Fresno de Torote";"MADRID";"RE-017192";"RE/0157/2007";"18,500";"b.1.1";"Inscripción definitiva"
"1040";"NULL";"PASEO DE LA ESPERANZA, 8";"Madrid";"MADRID";"RE-017193";"RE/0176/2007";"2,500";"b.1.1";"Inscripción definitiva"
"1041";"NULL";"JESUS GARCIA DELGADO";"Chinchón";"MADRID";"RE-017194";"RE/0185/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1042";"NULL";"MONICA AGULLO";"Boalo (El)";"MADRID";"RE-017195";"RE/0187/2007";"7,500";"b.1.1";"Inscripción definitiva"
"1043";"NULL";"Mª ISABEL PATTIER";"Colmenar Viejo";"MADRID";"RE-017196";"RE/0188/2007";"7,500";"b.1.1";"Inscripción definitiva"
"1044";"NULL";"TA-TA-TA-CHAN, SURL";"Brunete";"MADRID";"RE-017197";"RE/0189/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1045";"NULL";"SELAE-MANUEL TOVAR";"Madrid";"MADRID";"RE-017198";"RE/0200/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1046";"NULL";"CIRILO TORNOS INZA";"Torrelodones";"MADRID";"RE-017199";"RE/0203/2007";"7,500";"b.1.1";"Inscripción definitiva"
"1047";"NULL";"ALEJANDRO GARCIA BLANCO";"Valdemorillo";"MADRID";"RE-017200";"RE/0208/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1048";"NULL";"SDAD COOPERAT. ENSEÑANZA COSABER";"Madrid";"MADRID";"RE-018050";"RE/1142/2006";"90,000";"b.1.1";"Inscripción definitiva"
"1049";"NULL";"TELEFONICA INTERNACIONAL, SA";"Madrid";"MADRID";"RE-018051";"RE/1357/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1050";"NULL";"TELEFONICA SERVICIOS DE MUSICA, SAU";"Madrid";"MADRID";"RE-018052";"RE-1358/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1051";"NULL";"I.S.F. FASE IV-ZONA 4";"Madrid";"MADRID";"RE-018053";"RE/1364/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1052";"NULL";"I.S.F. FASE IV-ZONA 5";"Madrid";"MADRID";"RE-018054";"RE/1365/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1053";"NULL";"TELEFONICA FINANZAS, SA";"Madrid";"MADRID";"RE-018055";"RE/1359/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1054";"NULL";"CASA DE LA LUCA";"San Agustín del Guadalix";"MADRID";"RE-018056";"RE/1489/2006";"30,000";"b.1.1";"Inscripción definitiva"
"1055";"NULL";"JOAQUIN VELASCO MORAN";"Boadilla del Monte";"MADRID";"RE-018057";"RE/1505/2006";"7,000";"b.1.1";"Inscripción definitiva"
"1056";"NULL";"TEBASA";"Colmenar Viejo";"MADRID";"RE-018058";"RE/0130/2007";"59,800";"b.1.1";"Inscripción definitiva"
"1057";"NULL";"BLANCA ALVAREZ SANCHEZ";"Hoyo de Manzanares";"MADRID";"RE-018059";"RE/0193/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1058";"NULL";"VILLA DEL PRADO 1";"Villa del Prado";"MADRID";"RE-018437";"RE/0115/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1059";"NULL";"ESCUELA INFANTIL VALDELAPARRA";"Alcobendas";"MADRID";"RE-019599";"RE/0227/2007";"15,000";"b.1.1";"Inscripción definitiva"
"1060";"NULL";"ANTAKIRA";"Alcalá de Henares";"MADRID";"RE-019600";"RE/0262/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1061";"NULL";"INVERSIONES ENERGETICAS EXPERIMENTALES";"Rozas de Madrid (Las)";"MADRID";"RE-019681";"RE/1473/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1062";"NULL";"AUTESA, SL";"Madrid";"MADRID";"RE-019682";"RE/0238/2007";"18,300";"b.1.1";"Inscripción definitiva"
"1063";"NULL";"SUFEIN, SL";"Alcalá de Henares";"MADRID";"RE-019683";"RE/0255/2007";"10,000";"b.1.1";"Inscripción definitiva"
"1064";"NULL";"ESCUELA INFANTIL EL CUQUILLO";"Alcobendas";"MADRID";"RE-019684";"RE/0228/2007";"15,000";"b.1.1";"Inscripción definitiva"
"1065";"NULL";"RAUL ROBLEDO DO NASCIMENTO";"Camarma de Esteruelas";"MADRID";"RE-020142";"RE/1262/2006";"4,600";"b.1.1";"Inscripción definitiva"
"1066";"NULL";"TELEFONICA FASE V-ZONA 1";"Madrid";"MADRID";"RE-020143";"RE/1484/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1067";"NULL";"INSTALACION SOLAR FV TELEFONICA FASE V- ZONA 4";"Madrid";"MADRID";"RE-020144";"RE/1485/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1068";"NULL";"INSTALACION SOLAR FV TELEFONICA FASE V- ZONA 3";"Madrid";"MADRID";"RE-020145";"RE/1486/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1069";"NULL";"INSTALACION SOLAR FV TELEFONICA FASE V- ZONA 2";"Madrid";"MADRID";"RE-020146";"RE/1487/2006";"100,000";"b.1.1";"Inscripción definitiva"
"1070";"NULL";"ESCORPION";"Madrid";"MADRID";"RE-020147";"RE/0012/2007";"50,000";"b.1.1";"Inscripción definitiva"
"1071";"NULL";"AYUNTAMIENTO DE ORUSCO-CENTRO CULTURAL";"Orusco de Tajuña";"MADRID";"RE-020148";"RE/0133/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1072";"NULL";"PILAR ATARES GOMEZ";"Loeches";"MADRID";"RE-020149";"RE/0214/2007";"6,600";"b.1.1";"Inscripción definitiva"
"1073";"NULL";"HASE HARAMA, SL";"Fuente el Saz de Jarama";"MADRID";"RE-020150";"RE/0250/2007";"30,000";"b.1.1";"Inscripción definitiva"
"1074";"NULL";"CARLOS FRANCISCOA RUIZ GONZALEZ";"Pozuelo de Alarcón";"MADRID";"RE-020151";"RE/0283/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1075";"NULL";"MARIA LORETO GARCIA-SISO FRANCO";"Pozuelo de Alarcón";"MADRID";"RE-020152";"RE/0284/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1076";"NULL";"AYUNTAMIENTO COLLADO VILLALBA";"Collado Villalba";"MADRID";"RE-020153";"RE/0237/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1077";"NULL";"MUCHAP II";"Torrejón de Ardoz";"MADRID";"RE-020228";"RE/0264/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1078";"NULL";"GONZALO CHACON 8";"Aranjuez";"MADRID";"RE-020229";"RE/0297/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1079";"NULL";"GONZALO CHACON 12-14";"Aranjuez";"MADRID";"RE-020230";"RE/0296/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1080";"NULL";"GUADIANA P1";"Boadilla del Monte";"MADRID";"RE-020231";"RE/0347/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1081";"NULL";"MUCHAP";"Alcalá de Henares";"MADRID";"RE-020577";"RE/0265/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1082";"NULL";"SUMINISTROS ELECTRICOS BOLAÑOS, SL";"Madrid";"MADRID";"RE-020578";"RE/0298/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1083";"NULL";"PISCINA MUNICIPAL";"Navalagamella";"MADRID";"RE-020579";"RE/0314/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1084";"NULL";"LUDOC TOPACH";"Rozas de Madrid (Las)";"MADRID";"RE-020580";"RE/0317/2007";"10,000";"b.1.1";"Inscripción definitiva"
"1085";"NULL";"CERRAJERIAS LOPEZ Y MANZANO, SL";"Móstoles";"MADRID";"RE-020829";"RE/1467/2006";"7,500";"b.1.1";"Inscripción definitiva"
"1086";"NULL";"CERRAJERIAS LOPEZ Y MANZANO, SL";"Móstoles";"MADRID";"RE-021590";"RE/1469/2006";"7,500";"b.1.1";"Inscripción definitiva"
"1087";"NULL";"PROYECTOS LEITNER, SL";"Madrid";"MADRID";"RE-021591";"RE/0194/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1088";"NULL";"I.E.S LOS ROSALES";"Móstoles";"MADRID";"RE-021592";"RE/0276/2007";"2,300";"b.1.1";"Inscripción definitiva"
"1089";"NULL";"I.E.S MIGUEL DE CERVANTES";"Móstoles";"MADRID";"RE-021593";"RE/0277/2007";"2,300";"b.1.1";"Inscripción definitiva"
"1090";"NULL";"GONZALO CHACON, 48";"Aranjuez";"MADRID";"RE-021594";"RE/0310/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1091";"NULL";"COLEGIO MUNICIPAL";"Becerril de la Sierra";"MADRID";"RE-021595";"RE/0319/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1092";"NULL";"POLIDEPORTIVO MUNICIPAL";"Becerril de la Sierra";"MADRID";"RE-021596";"RE/0320/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1093";"NULL";"AIRTEC ALCORCON";"Alcorcón";"MADRID";"RE-022015";"RE/0205/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1094";"NULL";"JOSE MARIA VACAS ALONSO";"Rivas-Vaciamadrid";"MADRID";"RE-022016";"RE/0213/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1095";"NULL";"JOSE MARIA VACAS ALONSO";"Rivas-Vaciamadrid";"MADRID";"RE-022016";"RE/0213/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1096";"NULL";"ARIDOS ENVASA";"Humanes de Madrid";"MADRID";"RE-022017";"RE/0253/2007";"4,600";"b.1.1";"Inscripción definitiva"
"1097";"NULL";"CUARTELES";"San Martín de Valdeiglesias";"MADRID";"RE-022018";"RE/0268/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1098";"NULL";"I.E.S VILLA DE VALDEMORO";"Valdemoro";"MADRID";"RE-022019";"RE/0278/2007";"2,300";"b.1.1";"Inscripción definitiva"
"1099";"NULL";"TULIPAN P1";"San Martín de Valdeiglesias";"MADRID";"RE-022020";"RE/0346/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1100";"NULL";"RESIDENCIA VIRGEN DEL CONSUELO, SL";"Ciempozuelos";"MADRID";"RE-022021";"RE/0419/2007";"15,000";"b.1.1";"Inscripción definitiva"
"1101";"NULL";"CAPANEGRA, BLOQUE 1";"Rivas-Vaciamadrid";"MADRID";"RE-022022";"RE/1506/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1102";"NULL";"CAPANEGRA, BLOQUE 2";"Rivas-Vaciamadrid";"MADRID";"RE-022023";"RE/1507/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1103";"NULL";"CAPANEGRA, BLOQUE 3";"Rivas-Vaciamadrid";"MADRID";"RE-022024";"RE/1508/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1104";"NULL";"CAPANEGRA, BLOQUE 4";"Rivas-Vaciamadrid";"MADRID";"RE-022025";"RE/1509/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1105";"NULL";"CAPANEGRA, BLOQUE 5";"Rivas-Vaciamadrid";"MADRID";"RE-022026";"RE/1510/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1106";"NULL";"CAPANEGRA, BLOQUE 6";"Rivas-Vaciamadrid";"MADRID";"RE-022027";"RE/1511/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1107";"NULL";"CAPANEGRA, BLOQUE 7";"Rivas-Vaciamadrid";"MADRID";"RE-022028";"RE/1512/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1108";"NULL";"CAPANEGRA, BLOQUE 8";"Rivas-Vaciamadrid";"MADRID";"RE-022029";"RE/1513/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1109";"NULL";"CAPANEGRA, BLOQUE 9";"Rivas-Vaciamadrid";"MADRID";"RE-022030";"RE/1514/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1110";"NULL";"CAPANEGRA, BLOQUE 10";"Rivas-Vaciamadrid";"MADRID";"RE-022031";"RE/1515/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1111";"NULL";"PEDRO CARBALLO CONTRERAS";"Villaconejos";"MADRID";"RE-022167";"RE/1466/2006";"4,600";"b.1.1";"Inscripción definitiva"
"1112";"NULL";"I.E.S. VIRGEN DE LA PAZ";"Alcobendas";"MADRID";"RE-022168";"RE/0305/2007";"2,500";"b.1.1";"Inscripción definitiva"
"1113";"NULL";"PLANTA SOLAR TELEFONICA FASE II.1-ZONA 1";"Madrid";"MADRID";"RE-022635";"RE/0013/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1114";"NULL";"PLANTA SOLAR TELEFONICA FASE III-ZONA 1";"Madrid";"MADRID";"RE-022636";"RE/0014/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1115";"NULL";"PLANTA SOLAR TELEFONICA FASE I-ZONA 1";"Madrid";"MADRID";"RE-022637";"RE/0015/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1116";"NULL";"ALDESA ENERGÍAS ALTERNATIVAS, S.L.U.";"Alcalá de Henares";"MADRID";"RE-022638";"RE/0027/2007";"90,000";"b.1.1";"Inscripción definitiva"
"1117";"NULL";"AUTOFESA-AV. DE ESPAÑA";"Villalbilla";"MADRID";"RE-022639";"RE/0231/2007";"80,000";"b.1.1";"Inscripción definitiva"
"1118";"NULL";"SANITAS II";"Madrid";"MADRID";"RE-022640";"RE/0251/2007";"15,000";"b.1.1";"Inscripción definitiva"
"1119";"NULL";"GESTORIA BARTOLOME, SA";"Colmenar Viejo";"MADRID";"RE-022763";"RE/0125/2007";"82,800";"b.1.1";"Inscripción definitiva"
"1120";"NULL";"ALDAUTO MOTOR, SA";"Colmenar Viejo";"MADRID";"RE-022764";"RE/0132/2007";"82,800";"b.1.1";"Inscripción definitiva"
"1121";"NULL";"MERBAUTO, SA";"Colmenar Viejo";"MADRID";"RE-022765";"RE/0134/2007";"82,800";"b.1.1";"Inscripción definitiva"
"1122";"NULL";"SOLBARTOLOME, SA";"Colmenar Viejo";"MADRID";"RE-022766";"RE/0134/2007";"55,200";"b.1.1";"Inscripción definitiva"
"1123";"NULL";"I.E.S LEON FELIPE";"Torrejón de Ardoz";"MADRID";"RE-022767";"RE/0279/2007";"2,300";"b.1.1";"Inscripción definitiva"
"1124";"NULL";"COLEGIO PUBLICO VILLA COBEÑA";"Cobeña";"MADRID";"RE-022768";"RE/0371/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1125";"NULL";"LUIS MANUEL SARRO BARO";"Colmenar de Oreja";"MADRID";"RE-022769";"RE/1350/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1126";"NULL";"C E P A  DAOIZ Y VELARDE";"Madrid";"MADRID";"RE-022770";"RE/1470/2006";"2,200";"b.1.1";"Inscripción definitiva"
"1127";"NULL";"BULEVAR BIOCLIMATICO DE VALLECAS";"Madrid";"MADRID";"RE-023912";"RE/0273/2007";"10,000";"b.1.1";"Inscripción definitiva"
"1128";"NULL";"BULEVAR BIOCLIMATICO DE VALLECAS";"Madrid";"MADRID";"RE-023913";"RE/0274/2007";"10,000";"b.1.1";"Inscripción definitiva"
"1129";"NULL";"BULEVAR BIOCLIMATICO DE VALLECAS III";"Madrid";"MADRID";"RE-023914";"RE/0275/2007";"10,000";"b.1.1";"Inscripción definitiva"
"1130";"NULL";"GRUPO G.M.V";"Tres Cantos";"MADRID";"RE-023915";"RE/0318/2007";"50,000";"b.1.1";"Inscripción definitiva"
"1131";"NULL";"INPROQUISA";"Valdemoro";"MADRID";"RE-023916";"RE/0408/2007";"100,000";"b.1.1";"Inscripción definitiva"
"1132";"NULL";"POLIDEPORTIVO FUENTIDUEÑA";"Fuentidueña de Tajo";"MADRID";"RE-023917";"RE/0242/2007";"7,500";"b.1.1";"Inscripción definitiva"
"1133";"NULL";"FOTOVOLTAICA DE LA DEHESA";"Guadarrama";"MADRID";"RE-024735";"RE/1107/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1134";"NULL";"BARZAL METALICAS, SL";"Serranillos del Valle";"MADRID";"RE-024736";"RE/1383/2006";"30,000";"b.1.1";"Inscripción definitiva"
"1135";"NULL";"CASA ASOCIACIONES";"Rivas-Vaciamadrid";"MADRID";"RE-024737";"RE/1400/2006";"30,000";"b.1.1";"Inscripción definitiva"
"1136";"NULL";"SFCR 3,5 GUADALIX DE LA SIERRA";"Guadalix de la Sierra";"MADRID";"RE-024738";"RE/1502/2006";"3,500";"b.1.1";"Inscripción definitiva"
"1137";"NULL";"CAPA NEGRA - BLOQUE 11";"Rivas-Vaciamadrid";"MADRID";"RE-024739";"RE/1516/2006";"5,000";"b.1.1";"Inscripción definitiva"
"1138";"NULL";"JOAQUIN ADALID TORRES";"Santorcaz";"MADRID";"RE-024740";"RE/1520/2006";"25,000";"b.1.1";"Inscripción definitiva"
"1139";"NULL";"INSTALACION SFVCR 30 KW PARACUELLOS";"Paracuellos de Jarama";"MADRID";"RE-024741";"RE/0028/2007";"30,000";"b.1.1";"Inscripción definitiva"
"1140";"NULL";"INSTITUTO NACIONAL DE ESTADISTICA";"Madrid";"MADRID";"RE-024742";"RE/0060/2007";"50,000";"b.1.1";"Inscripción definitiva"
"1141";"NULL";"PROSELCO, SA";"Colmenar Viejo";"MADRID";"RE-024743";"RE/0156/2007";"380,000";"b.1.1";"Inscripción definitiva"
"1142";"NULL";"CONSTRUCCIONS ENHORMA, SL";"Getafe";"MADRID";"RE-024744";"RE/0206/2007";"13,800";"b.1.1";"Inscripción definitiva"
"1143";"NULL";"C.P. PLAZA DE MANOLETE 1 Y 2";"Madrid";"MADRID";"RE-024745";"RE/0207/2007";"13,800";"b.1.1";"Inscripción definitiva"
"1144";"NULL";"ABODEGUIÑA ALCORCON";"Alcorcón";"MADRID";"RE-024746";"RE/0234/2007";"25,000";"b.1.1";"Inscripción definitiva"
"1145";"NULL";"DIEGO BARROSO GIL";"Rivas-Vaciamadrid";"MADRID";"RE-024747";"RE/0239/2007";"8,000";"b.1.1";"Inscripción definitiva"
"1146";"NULL";"LANDSIGHT (IMPER)";"Leganés";"MADRID";"RE-024748";"RE/0241/2007";"100,000";"b.1.1";"Inscripción definitiva"
"1147";"NULL";"TALAMANCA, 1 (Fase nº1)";"Talamanca de Jarama";"MADRID";"RE-024749";"RE/0345/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1148";"NULL";"TALAMANCA, 1 (Fase nº2)";"Talamanca de Jarama";"MADRID";"RE-024749";"RE/0345/2007";"13,000";"b.1.1";"Inscripción definitiva"
"1149";"NULL";"UNION DETALLISTAS ESPAÑOLES";"Madrid";"MADRID";"RE-024750";"RE/0266/2007";"180,000";"b.1.1";"Inscripción definitiva"
"1150";"NULL";"EQUI100FV313";"Majadahonda";"MADRID";"RE-024751";"RE/0294/2007";"84,000";"b.1.1";"Inscripción definitiva"
"1151";"NULL";"PEDRO ANTONIO RAMOS ALONSO";"Villalbilla";"MADRID";"RE-024752";"RE/0295/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1152";"NULL";"I.E.S. HUMANEJOS DE PARLA";"Parla";"MADRID";"RE-024753";"RE/0307/2007";"5,000";"b.1.1";"Inscripción definitiva"
"1153";"NULL";"PUNTO LIMPIO-AYUNTAMIENTO DE S. SEBASTIAN DE LOS REYES";"San Sebastián de los Reyes";"MADRID";"RE-024754";"RE/0312/2007";"87,500";"b.1.1";"Inscripción definitiva"
"1154";"NULL";"CONSTRUCCIONES POMAR 2000";"Alcorcón";"MADRID";"RE-024755";"RE/0327/2007";"15,000";"b.1.1";"Inscripción definitiva"
"1155";"NULL";"I.E.S LEON FELIPE";"Getafe";"MADRID";"RE-024756";"RE/0309/2007";"2,500";"b.1.1";"Inscripción definitiva"
"1156";"NULL";"MESETA DE ORCASITAS";"Madrid";"MADRID";"RE-024757";"RE/0311/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1157";"NULL";"FUTURO SOLAR";"Colmenar Viejo";"MADRID";"RE-024758";"RE/0332/2007";"20,000";"b.1.1";"Inscripción definitiva"
"1158";"NULL";"LUIS JIMENEZ GUTIERREZ";"Venturada";"MADRID";"RE-024759";"RE/0360/2007";"5,400";"b.1.1";"Inscripción definitiva"
"1159";"NULL";"INSTALACIONES ELECTRICAS Y MANTENIMIENTOS DE MADRID";"Arroyomolinos";"MADRID";"RE-024760";"RE/0362/2007";"30,000";"b.1.1";"Inscripción definitiva"
"1160";"NULL";"ESSEGUR";"Daganzo de Arriba";"MADRID";"RE-024761";"RE/0363/2007";"100,000";"b.1.1";"Inscripción definitiva"
"1161";"NULL";"COLEGIO MENESIANO DE MADRID";"Madrid";"MADRID";"RE-024762";"RE/0368/2007";"97,500";"b.1.1";"Inscripción definitiva"
"1162";"NULL";"FV MIRAMADRID 1";"Paracuellos de Jarama";"MADRID";"RE-024763";"RE/0410/2007";"4,600";"b.1.1";"Inscripción definitiva"
"1163";"NULL";"EMIBEN";"Alcalá de Henares";"MADRID";"RE-024764";"RE/0005/2008";"13,500";"b.1.1";"Inscripción definitiva"
"1164";"NULL";"CENTRO CIVICO";"Colmenarejo";"MADRID";"RE-024765";"RE/0077/2008";"5,000";"b.1.1";"Inscripción definitiva"
